cluster_id,signal,occurrences,distinct_texts,files,boilerplate_class,internally_divergent,divergence_triggers,min_pairwise_similarity,formed_by_chaining,proposed_representative_id,proposed_representative_file,proposed_representative_line,authority_reason,dates,ratified_by,member_ids,representative_text_excerpt_grouped_clusters_only_full_text_in_decision_candidates_json
DC-04428,1-text,1,1,1,,,,,,DH-04329,open_items/OI-108.md,1,the open-items register,,,DH-04329,
DC-04429,1-text,1,1,1,,,,,,DH-04332,open_items/OI-108.md,7,the open-items register,,,DH-04332,
DC-04430,1-text,1,1,1,,,,,,DH-04335,open_items/OI-109.md,7,the open-items register,,,DH-04335,
DC-04431,1-text,1,1,1,,,,,,DH-04338,open_items/OI-11.md,7,the open-items register,,,DH-04338,
DC-04432,1-text,1,1,1,,,,,,DH-04341,open_items/OI-110.md,7,the open-items register,,,DH-04341,
DC-04433,1-text,1,1,1,,,,,,DH-04344,open_items/OI-111.md,7,the open-items register,,,DH-04344,
DC-04434,1-text,1,1,1,,,,,,DH-04347,open_items/OI-112.md,7,the open-items register,,,DH-04347,
DC-04435,1-text,1,1,1,,,,,,DH-04350,open_items/OI-114.md,1,the open-items register,,,DH-04350,
DC-04436,1-text,1,1,1,,,,,,DH-04353,open_items/OI-114.md,7,the open-items register,,,DH-04353,
DC-04437,1-text,1,1,1,,,,,,DH-04356,open_items/OI-116.md,1,the open-items register,,,DH-04356,
DC-04438,1-text,1,1,1,,,,,,DH-04359,open_items/OI-116.md,7,the open-items register,,,DH-04359,
DC-04439,1-text,1,1,1,,,,,,DH-04362,open_items/OI-117.md,7,the open-items register,,,DH-04362,
DC-04440,1-text,1,1,1,,,,,,DH-04365,open_items/OI-118.md,7,the open-items register,,,DH-04365,
DC-04441,1-text,1,1,1,,,,,,DH-04368,open_items/OI-119.md,7,the open-items register,,,DH-04368,
DC-04442,1-text,1,1,1,,,,,,DH-04373,open_items/OI-120.md,7,the open-items register,,,DH-04373,
DC-04443,1-text,1,1,1,,,,,,DH-04378,open_items/OI-122.md,7,the open-items register,,,DH-04378,
DC-04444,1-text,1,1,1,,,,,,DH-04380,open_items/OI-123.md,7,the open-items register,,,DH-04380,
DC-04445,1-text,1,1,1,,,,,,DH-04382,open_items/OI-124.md,7,the open-items register,,,DH-04382,
DC-04446,1-text,1,1,1,,,,,,DH-04384,open_items/OI-125.md,7,the open-items register,,,DH-04384,
DC-04447,1-text,1,1,1,,,,,,DH-04386,open_items/OI-126.md,7,the open-items register,,,DH-04386,
DC-04448,1-text,1,1,1,,,,,,DH-04388,open_items/OI-127.md,7,the open-items register,,,DH-04388,
DC-04449,1-text,1,1,1,,,,,,DH-04390,open_items/OI-128.md,7,the open-items register,,,DH-04390,
DC-04450,1-text,1,1,1,,,,,,DH-04392,open_items/OI-129.md,7,the open-items register,,,DH-04392,
DC-04451,1-text,1,1,1,,,,,,DH-04396,open_items/OI-130.md,7,the open-items register,,,DH-04396,
DC-04452,1-text,1,1,1,,,,,,DH-04399,open_items/OI-132.md,7,the open-items register,,,DH-04399,
DC-04453,1-text,1,1,1,,,,,,DH-04401,open_items/OI-133.md,7,the open-items register,,,DH-04401,
DC-04454,1-text,1,1,1,,,,,,DH-04403,open_items/OI-134.md,7,the open-items register,,,DH-04403,
DC-04455,1-text,1,1,1,,,,,,DH-04405,open_items/OI-135.md,7,the open-items register,,,DH-04405,
DC-04456,1-text,1,1,1,,,,,,DH-04407,open_items/OI-136.md,7,the open-items register,,,DH-04407,
DC-04457,1-text,1,1,1,,,,,,DH-04409,open_items/OI-137.md,7,the open-items register,,,DH-04409,
DC-04458,1-text,1,1,1,,,,,,DH-04414,open_items/OI-14.md,7,the open-items register,,,DH-04414,
DC-04459,1-text,1,1,1,,,,,,DH-04415,open_items/OI-140.md,1,the open-items register,,,DH-04415,
DC-04460,1-text,1,1,1,,,,,,DH-04417,open_items/OI-140.md,7,the open-items register,,,DH-04417,
DC-04461,1-text,1,1,1,,,,,,DH-04420,open_items/OI-141.md,7,the open-items register,,,DH-04420,
DC-04462,1-text,1,1,1,,,,,,DH-04423,open_items/OI-142.md,7,the open-items register,,,DH-04423,
DC-04463,1-text,1,1,1,,,,,,DH-04426,open_items/OI-143.md,7,the open-items register,,,DH-04426,
DC-04464,1-text,1,1,1,,,,,,DH-04429,open_items/OI-144.md,7,the open-items register,,,DH-04429,
DC-04465,1-text,1,1,1,,,,,,DH-04432,open_items/OI-145.md,7,the open-items register,,,DH-04432,
DC-04466,1-text,1,1,1,,,,,,DH-04435,open_items/OI-146.md,7,the open-items register,,,DH-04435,
DC-04467,1-text,1,1,1,,,,,,DH-04438,open_items/OI-147.md,7,the open-items register,,,DH-04438,
DC-04468,1-text,1,1,1,,,,,,DH-04441,open_items/OI-148.md,7,the open-items register,,,DH-04441,
DC-04469,1-text,1,1,1,,,,,,DH-04444,open_items/OI-149.md,7,the open-items register,,,DH-04444,
DC-04470,1-text,1,1,1,,,,,,DH-04448,open_items/OI-150.md,7,the open-items register,,,DH-04448,
DC-04471,1-text,1,1,1,,,,,,DH-04450,open_items/OI-151.md,7,the open-items register,,,DH-04450,
DC-04472,1-text,1,1,1,,,,,,DH-04452,open_items/OI-152.md,7,the open-items register,,,DH-04452,
DC-04473,1-text,1,1,1,,,,,,DH-04454,open_items/OI-153.md,7,the open-items register,,,DH-04454,
DC-04474,1-text,1,1,1,,,,,,DH-04456,open_items/OI-154.md,7,the open-items register,,,DH-04456,
DC-04475,1-text,1,1,1,,,,,,DH-04458,open_items/OI-155.md,7,the open-items register,,,DH-04458,
DC-04476,1-text,1,1,1,,,,,,DH-04460,open_items/OI-156.md,7,the open-items register,,,DH-04460,
DC-04477,1-text,1,1,1,,,,,,DH-04462,open_items/OI-157.md,7,the open-items register,,,DH-04462,
DC-04478,1-text,1,1,1,,,,,,DH-04463,open_items/OI-158.md,1,the open-items register,,,DH-04463,
DC-04479,1-text,1,1,1,,,,,,DH-04465,open_items/OI-158.md,7,the open-items register,,,DH-04465,
DC-04480,1-text,1,1,1,,,,,,DH-04467,open_items/OI-159.md,7,the open-items register,,,DH-04467,
DC-04481,1-text,1,1,1,,,,,,DH-04470,open_items/OI-16.md,7,the open-items register,,,DH-04470,
DC-04482,1-text,1,1,1,,,,,,DH-04472,open_items/OI-160.md,7,the open-items register,,,DH-04472,
DC-04483,1-text,1,1,1,,,,,,DH-04473,open_items/OI-161.md,1,the open-items register,,,DH-04473,
DC-04484,1-text,1,1,1,,,,,,DH-04476,open_items/OI-161.md,7,the open-items register,,,DH-04476,
DC-04485,1-text,1,1,1,,,,,,DH-04479,open_items/OI-162.md,7,the open-items register,,,DH-04479,
DC-04486,1-text,1,1,1,,,,,,DH-04482,open_items/OI-163.md,7,the open-items register,,,DH-04482,
DC-04487,1-text,1,1,1,,,,,,DH-04487,open_items/OI-165.md,7,the open-items register,,,DH-04487,
DC-04488,1-text,1,1,1,,,,,,DH-04490,open_items/OI-166.md,7,the open-items register,,,DH-04490,
DC-04489,1-text,1,1,1,,,,,,DH-04493,open_items/OI-167.md,7,the open-items register,,,DH-04493,
DC-04490,1-text,1,1,1,,,,,,DH-04496,open_items/OI-168.md,7,the open-items register,,,DH-04496,
DC-04491,1-text,1,1,1,,,,,,DH-04499,open_items/OI-169.md,7,the open-items register,,,DH-04499,
DC-04492,1-text,1,1,1,,,,,,DH-04504,open_items/OI-170.md,7,the open-items register,,,DH-04504,
DC-04493,1-text,1,1,1,,,,,,DH-04507,open_items/OI-171.md,7,the open-items register,,,DH-04507,
DC-04494,1-text,1,1,1,,,,,,DH-04508,open_items/OI-172.md,1,the open-items register,,,DH-04508,
DC-04495,1-text,1,1,1,,,,,,DH-04511,open_items/OI-172.md,7,the open-items register,,,DH-04511,
DC-04496,1-text,1,1,1,,,,,,DH-04514,open_items/OI-173.md,7,the open-items register,,,DH-04514,
DC-04497,1-text,1,1,1,,,,,,DH-04517,open_items/OI-174.md,7,the open-items register,,,DH-04517,
DC-04498,1-text,1,1,1,,,,,,DH-04518,open_items/OI-175.md,1,the open-items register,,,DH-04518,
DC-04499,1-text,1,1,1,,,,,,DH-04521,open_items/OI-175.md,7,the open-items register,,,DH-04521,
DC-04500,1-text,1,1,1,,,,,,DH-04522,open_items/OI-176.md,1,the open-items register,,,DH-04522,
DC-04501,1-text,1,1,1,,,,,,DH-04525,open_items/OI-176.md,7,the open-items register,,,DH-04525,
DC-04502,1-text,1,1,1,,,,,,DH-04528,open_items/OI-177.md,7,the open-items register,,,DH-04528,
DC-04503,1-text,1,1,1,,,,,,DH-04529,open_items/OI-178.md,1,the open-items register,,,DH-04529,
DC-04504,1-text,1,1,1,,,,,,DH-04531,open_items/OI-178.md,7,the open-items register,,,DH-04531,
DC-04505,1-text,1,1,1,,,,,,DH-04533,open_items/OI-179.md,7,the open-items register,,,DH-04533,
DC-04506,1-text,1,1,1,,,,,,DH-04536,open_items/OI-180.md,1,the open-items register,,,DH-04536,
DC-04507,1-text,1,1,1,,,,,,DH-04539,open_items/OI-180.md,7,the open-items register,,,DH-04539,
DC-04508,1-text,1,1,1,,,,,,DH-04540,open_items/OI-180.md,9,the open-items register,,,DH-04540,
DC-04509,1-text,1,1,1,,,,,,DH-04541,open_items/OI-180.md,11,the open-items register,,,DH-04541,
DC-04510,1-text,1,1,1,,,,,,DH-04544,open_items/OI-181.md,7,the open-items register,,,DH-04544,
DC-04511,1-text,1,1,1,,,,,,DH-04545,open_items/OI-182.md,1,the open-items register,,,DH-04545,
DC-04512,1-text,1,1,1,,,,,,DH-04548,open_items/OI-182.md,7,the open-items register,,,DH-04548,
DC-04513,1-text,1,1,1,,,,,,DH-04549,open_items/OI-182.md,25,the open-items register,,,DH-04549,
DC-04514,1-text,1,1,1,,,,,,DH-04550,open_items/OI-182.md,33,the open-items register,,,DH-04550,
DC-04515,1-text,1,1,1,,,,,,DH-04551,open_items/OI-182.md,39,the open-items register,,,DH-04551,
DC-04516,1-text,1,1,1,,,,,,DH-04555,open_items/OI-184.md,7,the open-items register,,,DH-04555,
DC-04517,1-text,1,1,1,,,,,,DH-04557,open_items/OI-185.md,7,the open-items register,,,DH-04557,
DC-04518,1-text,1,1,1,,,,,,DH-04559,open_items/OI-186.md,7,the open-items register,,,DH-04559,
DC-04519,1-text,1,1,1,,,,,,DH-04561,open_items/OI-187.md,7,the open-items register,,,DH-04561,
DC-04520,1-text,1,1,1,,,,,,DH-04563,open_items/OI-188.md,7,the open-items register,,,DH-04563,
DC-04521,1-text,1,1,1,,,,,,DH-04565,open_items/OI-189.md,7,the open-items register,,,DH-04565,
DC-04522,1-text,1,1,1,,,,,,DH-04569,open_items/OI-190.md,7,the open-items register,,,DH-04569,
DC-04523,1-text,1,1,1,,,,,,DH-04571,open_items/OI-191.md,7,the open-items register,,,DH-04571,
DC-04524,1-text,1,1,1,,,,,,DH-04573,open_items/OI-192.md,7,the open-items register,,,DH-04573,
DC-04525,1-text,1,1,1,,,,,,DH-04575,open_items/OI-193.md,7,the open-items register,,,DH-04575,
DC-04526,1-text,1,1,1,,,,,,DH-04577,open_items/OI-194.md,7,the open-items register,,,DH-04577,
DC-04527,1-text,1,1,1,,,,,,DH-04579,open_items/OI-195.md,7,the open-items register,,,DH-04579,
DC-04528,1-text,1,1,1,,,,,,DH-04581,open_items/OI-196.md,7,the open-items register,,,DH-04581,
DC-04529,1-text,1,1,1,,,,,,DH-04583,open_items/OI-197.md,7,the open-items register,,,DH-04583,
DC-04530,1-text,1,1,1,,,,,,DH-04585,open_items/OI-198.md,7,the open-items register,,,DH-04585,
DC-04531,1-text,1,1,1,,,,,,DH-04587,open_items/OI-199.md,7,the open-items register,,,DH-04587,
DC-04532,1-text,1,1,1,,,,,,DH-04588,open_items/OI-199.md,11,the open-items register,,,DH-04588,
DC-04533,1-text,1,1,1,,,,,,DH-04589,open_items/OI-199.md,33,the open-items register,,,DH-04589,
DC-04534,1-text,1,1,1,,,,,,DH-04591,open_items/OI-2.md,7,the open-items register,,,DH-04591,
DC-04535,1-text,1,1,1,,,,,,DH-04594,open_items/OI-20.md,7,the open-items register,,,DH-04594,
DC-04536,1-text,1,1,1,,,,,,DH-04596,open_items/OI-200.md,7,the open-items register,,,DH-04596,
DC-04537,1-text,1,1,1,,,,,,DH-04598,open_items/OI-201.md,7,the open-items register,,,DH-04598,
DC-04538,1-text,1,1,1,,,,,,DH-04600,open_items/OI-202.md,7,the open-items register,,,DH-04600,
DC-04539,1-text,1,1,1,,,,,,DH-04601,open_items/OI-203.md,1,the open-items register,,,DH-04601,
DC-04540,1-text,1,1,1,,,,,,DH-04603,open_items/OI-203.md,7,the open-items register,,,DH-04603,
DC-04541,1-text,1,1,1,,,,,,DH-04604,open_items/OI-203.md,24,the open-items register,,,DH-04604,
DC-04542,1-text,1,1,1,,,,,,DH-04605,open_items/OI-203.md,28,the open-items register,,,DH-04605,
DC-04543,1-text,1,1,1,,,,,,DH-04606,open_items/OI-203.md,55,the open-items register,,,DH-04606,
DC-04544,1-text,1,1,1,,,,,,DH-04607,open_items/OI-203.md,62,the open-items register,,,DH-04607,
DC-04545,1-text,1,1,1,,,,,,DH-04608,open_items/OI-203.md,85,the open-items register,,,DH-04608,
DC-04546,1-text,1,1,1,,,,,,DH-04609,open_items/OI-204.md,1,the open-items register,,,DH-04609,
DC-04547,1-text,1,1,1,,,,,,DH-04611,open_items/OI-204.md,7,the open-items register,,,DH-04611,
DC-04548,1-text,1,1,1,,,,,,DH-04612,open_items/OI-204.md,22,the open-items register,,,DH-04612,
DC-04549,1-text,1,1,1,,,,,,DH-04613,open_items/OI-204.md,31,the open-items register,,,DH-04613,
DC-04550,1-text,1,1,1,,,,,,DH-04614,open_items/OI-204.md,40,the open-items register,,,DH-04614,
DC-04551,1-text,1,1,1,,,,,,DH-04615,open_items/OI-204.md,52,the open-items register,,,DH-04615,
DC-04552,1-text,1,1,1,,,,,,DH-04617,open_items/OI-205.md,7,the open-items register,,,DH-04617,
DC-04553,1-text,1,1,1,,,,,,DH-04618,open_items/OI-205.md,12,the open-items register,,,DH-04618,
DC-04554,1-text,1,1,1,,,,,,DH-04619,open_items/OI-205.md,18,the open-items register,,,DH-04619,
DC-04555,1-text,1,1,1,,,,,,DH-04620,open_items/OI-205.md,29,the open-items register,,,DH-04620,
DC-04556,1-text,1,1,1,,,,,,DH-04621,open_items/OI-205.md,36,the open-items register,,,DH-04621,
DC-04557,1-text,1,1,1,,,,,,DH-04622,open_items/OI-206.md,1,the open-items register,,,DH-04622,
DC-04558,1-text,1,1,1,,,,,,DH-04624,open_items/OI-206.md,7,the open-items register,,,DH-04624,
DC-04559,1-text,1,1,1,,,,,,DH-04625,open_items/OI-206.md,13,the open-items register,,,DH-04625,
DC-04560,1-text,1,1,1,,,,,,DH-04626,open_items/OI-206.md,15,the open-items register,,,DH-04626,
DC-04561,1-text,1,1,1,,,,,,DH-04627,open_items/OI-206.md,26,the open-items register,,,DH-04627,
DC-04562,1-text,1,1,1,,,,,,DH-04628,open_items/OI-206.md,33,the open-items register,,,DH-04628,
DC-04563,1-text,1,1,1,,,,,,DH-04629,open_items/OI-206.md,42,the open-items register,,,DH-04629,
DC-04564,1-text,1,1,1,,,,,,DH-04630,open_items/OI-206.md,52,the open-items register,,,DH-04630,
DC-04565,1-text,1,1,1,,,,,,DH-04631,open_items/OI-206.md,69,the open-items register,,,DH-04631,
DC-04566,1-text,1,1,1,,,,,,DH-04632,open_items/OI-206.md,80,the open-items register,,,DH-04632,
DC-04567,1-text,1,1,1,,,,,,DH-04633,open_items/OI-206.md,101,the open-items register,,,DH-04633,
DC-04568,1-text,1,1,1,,,,,,DH-04634,open_items/OI-206.md,126,the open-items register,,,DH-04634,
DC-04569,1-text,1,1,1,,,,,,DH-04635,open_items/OI-206.md,156,the open-items register,,,DH-04635,
DC-04570,1-text,1,1,1,,,,,,DH-04636,open_items/OI-206.md,164,the open-items register,,,DH-04636,
DC-04571,1-text,1,1,1,,,,,,DH-04637,open_items/OI-206.md,171,the open-items register,,,DH-04637,
DC-04572,1-text,1,1,1,,,,,,DH-04638,open_items/OI-206.md,177,the open-items register,,,DH-04638,
DC-04573,1-text,1,1,1,,,,,,DH-04639,open_items/OI-206.md,198,the open-items register,,,DH-04639,
DC-04574,1-text,1,1,1,,,,,,DH-04640,open_items/OI-207.md,1,the open-items register,,,DH-04640,
DC-04575,1-text,1,1,1,,,,,,DH-04642,open_items/OI-207.md,5,the open-items register,,,DH-04642,
DC-04576,1-text,1,1,1,,,,,,DH-04643,open_items/OI-207.md,7,the open-items register,,,DH-04643,
DC-04577,1-text,1,1,1,,,,,,DH-04644,open_items/OI-207.md,14,the open-items register,,,DH-04644,
DC-04578,1-text,1,1,1,,,,,,DH-04645,open_items/OI-207.md,23,the open-items register,,,DH-04645,
DC-04579,1-text,1,1,1,,,,,,DH-04646,open_items/OI-207.md,36,the open-items register,,,DH-04646,
DC-04580,1-text,1,1,1,,,,,,DH-04647,open_items/OI-207.md,48,the open-items register,,,DH-04647,
DC-04581,1-text,1,1,1,,,,,,DH-04648,open_items/OI-208.md,1,the open-items register,,,DH-04648,
DC-04582,1-text,1,1,1,,,,,,DH-04650,open_items/OI-208.md,5,the open-items register,,,DH-04650,
DC-04583,1-text,1,1,1,,,,,,DH-04651,open_items/OI-208.md,7,the open-items register,,,DH-04651,
DC-04584,1-text,1,1,1,,,,,,DH-04652,open_items/OI-208.md,9,the open-items register,,,DH-04652,
DC-04585,1-text,1,1,1,,,,,,DH-04653,open_items/OI-208.md,19,the open-items register,,,DH-04653,
DC-04586,1-text,1,1,1,,,,,,DH-04654,open_items/OI-208.md,34,the open-items register,,,DH-04654,
DC-04587,1-text,1,1,1,,,,,,DH-04656,open_items/OI-209.md,7,the open-items register,,,DH-04656,
DC-04588,1-text,1,1,1,,,,,,DH-04657,open_items/OI-209.md,13,the open-items register,,,DH-04657,
DC-04589,1-text,1,1,1,,,,,,DH-04658,open_items/OI-209.md,27,the open-items register,,,DH-04658,
DC-04590,1-text,1,1,1,,,,,,DH-04661,open_items/OI-210.md,1,the open-items register,,,DH-04661,
DC-04591,1-text,1,1,1,,,,,,DH-04663,open_items/OI-210.md,13,the open-items register,,,DH-04663,
DC-04592,1-text,1,1,1,,,,,,DH-04664,open_items/OI-210.md,15,the open-items register,,,DH-04664,
DC-04593,1-text,1,1,1,,,,,,DH-04665,open_items/OI-210.md,16,the open-items register,,,DH-04665,
DC-04594,1-text,1,1,1,,,,,,DH-04666,open_items/OI-210.md,21,the open-items register,,,DH-04666,
DC-04595,1-text,1,1,1,,,,,,DH-04667,open_items/OI-210.md,24,the open-items register,,,DH-04667,
DC-04596,1-text,1,1,1,,,,,,DH-04668,open_items/OI-210.md,26,the open-items register,,,DH-04668,
DC-04597,1-text,1,1,1,,,,,,DH-04669,open_items/OI-210.md,29,the open-items register,,,DH-04669,
DC-04598,1-text,1,1,1,,,,,,DH-04670,open_items/OI-210.md,36,the open-items register,,,DH-04670,
DC-04599,1-text,1,1,1,,,,,,DH-04671,open_items/OI-210.md,42,the open-items register,,,DH-04671,
DC-04600,1-text,1,1,1,,,,,,DH-04672,open_items/OI-211.md,1,the open-items register,,,DH-04672,
DC-04601,1-text,1,1,1,,,,,,DH-04674,open_items/OI-211.md,11,the open-items register,,,DH-04674,
DC-04602,1-text,1,1,1,,,,,,DH-04675,open_items/OI-211.md,21,the open-items register,,,DH-04675,
DC-04603,1-text,1,1,1,,,,,,DH-04677,open_items/OI-212.md,7,the open-items register,,,DH-04677,
DC-04604,1-text,1,1,1,,,,,,DH-04678,open_items/OI-212.md,24,the open-items register,,,DH-04678,
DC-04605,1-text,1,1,1,,,,,,DH-04680,open_items/OI-213.md,13,the open-items register,,,DH-04680,
DC-04606,1-text,1,1,1,,,,,,DH-04681,open_items/OI-213.md,21,the open-items register,,,DH-04681,
DC-04607,1-text,1,1,1,,,,,,DH-04682,open_items/OI-214.md,1,the open-items register,,,DH-04682,
DC-04608,1-text,1,1,1,,,,,,DH-04684,open_items/OI-214.md,5,the open-items register,,,DH-04684,
DC-04609,1-text,1,1,1,,,,,,DH-04685,open_items/OI-214.md,14,the open-items register,,,DH-04685,
DC-04610,1-text,1,1,1,,,,,,DH-04686,open_items/OI-214.md,21,the open-items register,,,DH-04686,
DC-04611,1-text,1,1,1,,,,,,DH-04687,open_items/OI-214.md,31,the open-items register,,,DH-04687,
DC-04612,1-text,1,1,1,,,,,,DH-04689,open_items/OI-215.md,5,the open-items register,,,DH-04689,
DC-04613,1-text,1,1,1,,,,,,DH-04690,open_items/OI-215.md,7,the open-items register,,,DH-04690,
DC-04614,1-text,1,1,1,,,,,,DH-04691,open_items/OI-215.md,15,the open-items register,,,DH-04691,
DC-04615,1-text,1,1,1,,,,,,DH-04692,open_items/OI-215.md,26,the open-items register,,,DH-04692,
DC-04616,1-text,1,1,1,,,,,,DH-04693,open_items/OI-215.md,45,the open-items register,,,DH-04693,
DC-04617,1-text,1,1,1,,,,,,DH-04694,open_items/OI-215.md,63,the open-items register,,,DH-04694,
DC-04618,1-text,1,1,1,,,,,,DH-04695,open_items/OI-215.md,78,the open-items register,,,DH-04695,
DC-04619,1-text,1,1,1,,,,,,DH-04697,open_items/OI-216.md,7,the open-items register,,,DH-04697,
DC-04620,1-text,1,1,1,,,,,,DH-04698,open_items/OI-216.md,27,the open-items register,,,DH-04698,
DC-04621,1-text,1,1,1,,,,,,DH-04700,open_items/OI-217.md,30,the open-items register,,,DH-04700,
DC-04622,1-text,1,1,1,,,,,,DH-04701,open_items/OI-218.md,1,the open-items register,,,DH-04701,
DC-04623,1-text,1,1,1,,,,,,DH-04703,open_items/OI-218.md,7,the open-items register,,,DH-04703,
DC-04624,1-text,1,1,1,,,,,,DH-04704,open_items/OI-218.md,20,the open-items register,,,DH-04704,
DC-04625,1-text,1,1,1,,,,,,DH-04706,open_items/OI-219.md,20,the open-items register,,,DH-04706,
DC-04626,1-text,1,1,1,,,,,,DH-04710,open_items/OI-220.md,7,the open-items register,,,DH-04710,
DC-04627,1-text,1,1,1,,,,,,DH-04711,open_items/OI-220.md,23,the open-items register,,,DH-04711,
DC-04628,1-text,1,1,1,,,,,,DH-04712,open_items/OI-220.md,35,the open-items register,,,DH-04712,
DC-04629,1-text,1,1,1,,,,,,DH-04714,open_items/OI-221.md,5,the open-items register,,,DH-04714,
DC-04630,1-text,1,1,1,,,,,,DH-04715,open_items/OI-221.md,18,the open-items register,,,DH-04715,
DC-04631,1-text,1,1,1,,,,,,DH-04717,open_items/OI-222.md,18,the open-items register,,,DH-04717,
DC-04632,1-text,1,1,1,,,,,,DH-04718,open_items/OI-222.md,30,the open-items register,,,DH-04718,
DC-04633,1-text,1,1,1,,,,,,DH-04720,open_items/OI-223.md,7,the open-items register,,,DH-04720,
DC-04634,1-text,1,1,1,,,,,,DH-04722,open_items/OI-224.md,5,the open-items register,,,DH-04722,
DC-04635,1-text,1,1,1,,,,,,DH-04723,open_items/OI-224.md,12,the open-items register,,,DH-04723,
DC-04636,1-text,1,1,1,,,,,,DH-04724,open_items/OI-224.md,18,the open-items register,,,DH-04724,
DC-04637,1-text,1,1,1,,,,,,DH-04725,open_items/OI-224.md,25,the open-items register,,,DH-04725,
DC-04638,1-text,1,1,1,,,,,,DH-04726,open_items/OI-224.md,32,the open-items register,,,DH-04726,
DC-04639,1-text,1,1,1,,,,,,DH-04727,open_items/OI-225.md,1,the open-items register,,,DH-04727,
DC-04640,1-text,1,1,1,,,,,,DH-04729,open_items/OI-225.md,5,the open-items register,,,DH-04729,
DC-04641,1-text,1,1,1,,,,,,DH-04730,open_items/OI-225.md,7,the open-items register,,,DH-04730,
DC-04642,1-text,1,1,1,,,,,,DH-04731,open_items/OI-225.md,13,the open-items register,,,DH-04731,
DC-04643,1-text,1,1,1,,,,,,DH-04732,open_items/OI-225.md,16,the open-items register,,,DH-04732,
DC-04644,1-text,1,1,1,,,,,,DH-04733,open_items/OI-225.md,18,the open-items register,,,DH-04733,
DC-04645,1-text,1,1,1,,,,,,DH-04734,open_items/OI-225.md,22,the open-items register,,,DH-04734,
DC-04646,1-text,1,1,1,,,,,,DH-04735,open_items/OI-225.md,30,the open-items register,,,DH-04735,
DC-04647,1-text,1,1,1,,,,,,DH-04736,open_items/OI-226.md,1,the open-items register,,,DH-04736,
DC-04648,1-text,1,1,1,,,,,,DH-04738,open_items/OI-226.md,5,the open-items register,,,DH-04738,
DC-04649,1-text,1,1,1,,,,,,DH-04739,open_items/OI-226.md,7,the open-items register,,,DH-04739,
DC-04650,1-text,1,1,1,,,,,,DH-04740,open_items/OI-226.md,15,the open-items register,,,DH-04740,
DC-04651,1-text,1,1,1,,,,,,DH-04741,open_items/OI-226.md,17,the open-items register,,,DH-04741,
DC-04652,1-text,1,1,1,,,,,,DH-04742,open_items/OI-226.md,21,the open-items register,,,DH-04742,
DC-04653,1-text,1,1,1,,,,,,DH-04743,open_items/OI-226.md,32,the open-items register,,,DH-04743,
DC-04654,1-text,1,1,1,,,,,,DH-04744,open_items/OI-226.md,37,the open-items register,,,DH-04744,
DC-04655,1-text,1,1,1,,,,,,DH-04746,open_items/OI-227.md,5,the open-items register,,,DH-04746,
DC-04656,1-text,1,1,1,,,,,,DH-04747,open_items/OI-227.md,7,the open-items register,,,DH-04747,
DC-04657,1-text,1,1,1,,,,,,DH-04748,open_items/OI-227.md,18,the open-items register,,,DH-04748,
DC-04658,1-text,1,1,1,,,,,,DH-04749,open_items/OI-227.md,20,the open-items register,,,DH-04749,
DC-04659,1-text,1,1,1,,,,,,DH-04750,open_items/OI-227.md,34,the open-items register,,,DH-04750,
DC-04660,1-text,1,1,1,,,,,,DH-04751,open_items/OI-227.md,41,the open-items register,,,DH-04751,
DC-04661,1-text,1,1,1,,,,,,DH-04752,open_items/OI-227.md,47,the open-items register,,,DH-04752,
DC-04662,1-text,1,1,1,,,,,,DH-04753,open_items/OI-228.md,1,the open-items register,,,DH-04753,
DC-04663,1-text,1,1,1,,,,,,DH-04755,open_items/OI-228.md,5,the open-items register,,,DH-04755,
DC-04664,1-text,1,1,1,,,,,,DH-04756,open_items/OI-228.md,7,the open-items register,,,DH-04756,
DC-04665,1-text,1,1,1,,,,,,DH-04757,open_items/OI-228.md,11,the open-items register,,,DH-04757,
DC-04666,1-text,1,1,1,,,,,,DH-04758,open_items/OI-228.md,13,the open-items register,,,DH-04758,
DC-04667,1-text,1,1,1,,,,,,DH-04759,open_items/OI-228.md,19,the open-items register,,,DH-04759,
DC-04668,1-text,1,1,1,,,,,,DH-04760,open_items/OI-228.md,39,the open-items register,,,DH-04760,
DC-04669,1-text,1,1,1,,,,,,DH-04761,open_items/OI-228.md,57,the open-items register,,,DH-04761,
DC-04670,1-text,1,1,1,,,,,,DH-04763,open_items/OI-228.md,82,the open-items register,,,DH-04763,
DC-04671,1-text,1,1,1,,,,,,DH-04765,open_items/OI-229.md,5,the open-items register,,,DH-04765,
DC-04672,1-text,1,1,1,,,,,,DH-04766,open_items/OI-229.md,7,the open-items register,,,DH-04766,
DC-04673,1-text,1,1,1,,,,,,DH-04767,open_items/OI-229.md,13,the open-items register,,,DH-04767,
DC-04674,1-text,1,1,1,,,,,,DH-04768,open_items/OI-229.md,24,the open-items register,,,DH-04768,
DC-04675,1-text,1,1,1,,,,,,DH-04769,open_items/OI-229.md,26,the open-items register,,,DH-04769,
DC-04676,1-text,1,1,1,,,,,,DH-04772,open_items/OI-23.md,7,the open-items register,,,DH-04772,
DC-04677,1-text,1,1,1,,,,,,DH-04773,open_items/OI-230.md,1,the open-items register,,,DH-04773,
DC-04678,1-text,1,1,1,,,,,,DH-04775,open_items/OI-230.md,5,the open-items register,,,DH-04775,
